alternating,3,6,Game Condensed,Game Cited,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26
0,3,6,Gamebike Road Fury 2,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Monedero2015InteractiveAdults}\end{tabularx} } &\begin{small}Gamebike Road Fury 2\end{small}   \end{tabularx} },7.2,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,I-Dong Run,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Lau2015EvaluatingChildren}\end{tabularx} } &\begin{small}I-Dong Run\end{small}   \end{tabularx} },3.71,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,I-Dong Table Tennis,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Lau2015EvaluatingChildren}\end{tabularx} } &\begin{small}I-Dong Table Tennis\end{small}   \end{tabularx} },1.67,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,I-Dong dancing,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Lau2015EvaluatingChildren}\end{tabularx} } &\begin{small}I-Dong dancing\end{small}   \end{tabularx} },1.53,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Just Dance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Thin2013UserTechnologies}\end{tabularx} } &\begin{small}Just Dance\end{small}   \end{tabularx} },3.285714286,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Adventures,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{ODonovan2012EnergyModes,Clevenger2015EnergyKinect,Howe2015TheAdults,Barry2016AssessingMales,McNarry2016InvestigatingChildren,Monedero2017EnergyExercise}\end{tabularx} } &\begin{small}Kinect Adventures\end{small}   \end{tabularx} },1.865714286,4.26,4.51,5.1,5.5,5.7,6,7,7,,,,,,,,,,,,,,,,,
0,3,6,Kinect Boxing,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Smallwood2012PhysiologicSchoolchildren,Taylor2012ActivityGames,scheer2014wii,Wu2015EnergyExergaming,Barry2016AssessingMales}\end{tabularx} } &\begin{small}Kinect Boxing\end{small}   \end{tabularx} },2.97,3.028571429,5.057142857,6.8,8,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Dance Central,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Smallwood2012PhysiologicSchoolchildren,Bronner2013EnergyPlayers,Thin2013UserTechnologies,Clevenger2015EnergyKinect,Howe2015TheAdults,Bronner2016PhysiologicalProtocol}\end{tabularx} } &\begin{small}Kinect Dance Central\end{small}   \end{tabularx} },2.9,3.142857143,3.657142857,4.18,5.42,6,,,,,,,,,,,,,,,,,,,,
0,3,6,Kinect Disney Rush,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Clevenger2015EnergyKinect}\end{tabularx} } &\begin{small}Kinect Disney Rush\end{small}   \end{tabularx} },0.962857143,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Fuzion Frenzy,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bonetti2010ComparisonExergaming}\end{tabularx} } &\begin{small}Kinect Fuzion Frenzy\end{small}   \end{tabularx} },2.75,,,,,,,,,,,,,,,,,,,,,,,,,
